Rental ID,Rental Date,Month,Day of Week,Season,Customer Type,Rental Item,Rental Duration,Quantity,Unit Price,Add-on,Add-on Revenue,Discount Amount,Total Revenue,Employee Name,Launch Site,Payment Method,Weather
WSR-2026-0022,2026-01-10,January,Saturday,Winter,Member,Surfboard,2 Hours,1,38.88,None,0.00,5.83,33.05,Diego Ramirez,Lagoon Launch,Cash,Cloudy
WSR-2026-0023,2026-01-11,January,Sunday,Winter,Walk-in,Tandem Kayak,2 Hours,1,56.16,Dry Bag,6.00,0.00,62.16,Isaac Patel,Beachfront Hut,Debit Card,Sunny
WSR-2026-0024,2026-01-11,January,Sunday,Winter,Resort Guest,Stand-Up Paddle Board,1 Hour,1,28.08,GoPro Mount,8.00,1.80,34.28,Mia Thompson,Beachfront Hut,Debit Card,Sunny
WSR-2026-0025,2026-01-11,January,Sunday,Winter,Walk-in,Tandem Kayak,Half Day,1,84.24,Premium Life Jacket,7.00,0.00,91.24,Diego Ramirez,Marina Kiosk,Mobile Pay,Cloudy
WSR-2026-0026,2026-01-11,January,Sunday,Winter,Online Booking,Tandem Kayak,1 Hour,1,36.72,Phone Pouch,5.00,0.00,41.72,Ava Martinez,Lagoon Launch,Debit Card,Cloudy
WSR-2026-0027,2026-01-11,January,Sunday,Winter,Online Booking,Tandem Kayak,Half Day,1,84.24,None,0.00,0.00,84.24,Chloe Nguyen,Lagoon Launch,Credit Card,Windy
WSR-2026-0028,2026-01-12,January,Monday,Winter,Walk-in,Fishing Kayak,1 Hour,1,32.00,GoPro Mount,8.00,0.00,40.00,Hannah Brooks,Resort Pier,Credit Card,Sunny
WSR-2026-0029,2026-01-13,January,Tuesday,Winter,Online Booking,Single Kayak,1 Hour,1,24.00,None,0.00,0.00,24.00,Diego Ramirez,Harbor Dock,Debit Card,Rainy
WSR-2026-0030,2026-01-13,January,Tuesday,Winter,Resort Guest,Pedal Boat,2 Hours,1,58.00,Phone Pouch,5.00,0.00,63.00,Emma Wilson,Lagoon Launch,Debit Card,Windy
WSR-2026-0031,2026-01-13,January,Tuesday,Winter,Walk-in,Pedal Boat,Half Day,1,86.00,None,0.00,0.00,86.00,Chloe Nguyen,Resort Pier,Cash,Sunny
WSR-2026-0032,2026-01-13,January,Tuesday,Winter,Walk-in,Snorkel Set,2 Hours,1,18.00,None,0.00,0.00,18.00,Chloe Nguyen,Lagoon Launch,Credit Card,Cloudy
WSR-2026-0033,2026-01-13,January,Tuesday,Winter,Walk-in,Stand-Up Paddle Board,1 Hour,1,26.00,Phone Pouch,5.00,0.00,31.00,Finn Johnson,Marina Kiosk,Mobile Pay,Cloudy
WSR-2026-0034,2026-01-13,January,Tuesday,Winter,Walk-in,Fishing Kayak,2 Hours,1,50.00,None,0.00,0.00,50.00,Ben Carter,Beachfront Hut,Credit Card,Rainy
WSR-2026-0035,2026-01-14,January,Wednesday,Winter,Walk-in,Fishing Kayak,Full Day,1,110.00,Cooler Rental,10.00,0.00,120.00,Ava Martinez,Lagoon Launch,Debit Card,Sunny
WSR-2026-0036,2026-01-15,January,Thursday,Winter,Walk-in,Bodyboard,1 Hour,1,14.00,GoPro Mount,8.00,0.00,22.00,Hannah Brooks,Marina Kiosk,Cash,Windy
WSR-2026-0037,2026-01-16,January,Friday,Winter,Online Booking,Single Kayak,2 Hours,1,38.00,None,0.00,0.00,38.00,Ava Martinez,Resort Pier,Credit Card,Sunny
WSR-2026-0038,2026-01-16,January,Friday,Winter,Resort Guest,Single Kayak,1 Hour,1,24.00,None,0.00,0.00,24.00,Finn Johnson,Beachfront Hut,Credit Card,Rainy
WSR-2026-0039,2026-01-17,January,Saturday,Winter,Online Booking,Stand-Up Paddle Board,1 Hour,1,28.08,None,0.00,0.00,28.08,Ava Martinez,Lagoon Launch,Credit Card,Cloudy
WSR-2026-0040,2026-01-17,January,Saturday,Winter,Resort Guest,Surfboard,2 Hours,1,38.88,None,0.00,0.00,38.88,Emma Wilson,Beachfront Hut,Credit Card,Rainy
WSR-2026-0041,2026-01-19,January,Monday,Winter,Walk-in,Pedal Boat,1 Hour,1,36.00,Premium Life Jacket,7.00,0.00,43.00,Ava Martinez,Resort Pier,Credit Card,Sunny
WSR-2026-0042,2026-01-19,January,Monday,Winter,Group/Event,Bodyboard,1 Hour,1,14.00,None,0.00,1.40,12.60,Finn Johnson,Resort Pier,Gift Card,Cloudy
WSR-2026-0043,2026-01-20,January,Tuesday,Winter,Resort Guest,Bodyboard,1 Hour,1,14.00,None,0.00,0.00,14.00,Finn Johnson,Marina Kiosk,Debit Card,Sunny
WSR-2026-0044,2026-01-21,January,Wednesday,Winter,Online Booking,Snorkel Set,1 Hour,1,12.00,None,0.00,0.00,12.00,Finn Johnson,Beachfront Hut,Credit Card,Rainy
WSR-2026-0045,2026-01-22,January,Thursday,Winter,Walk-in,Surfboard,2 Hours,1,36.00,GoPro Mount,8.00,0.00,44.00,Finn Johnson,Lagoon Launch,Mobile Pay,Rainy
WSR-2026-0046,2026-01-23,January,Friday,Winter,Walk-in,Stand-Up Paddle Board,2 Hours,1,42.00,Dry Bag,6.00,0.00,48.00,Grace Lee,Marina Kiosk,Credit Card,Sunny
WSR-2026-0047,2026-01-23,January,Friday,Winter,Resort Guest,Bodyboard,Full Day,1,48.00,Phone Pouch,5.00,0.00,53.00,Ava Martinez,Resort Pier,Credit Card,Windy
WSR-2026-0048,2026-01-23,January,Friday,Winter,Online Booking,Fishing Kayak,2 Hours,1,50.00,Premium Life Jacket,7.00,0.00,57.00,Ava Martinez,Beachfront Hut,Mobile Pay,Windy
WSR-2026-0049,2026-01-24,January,Saturday,Winter,Online Booking,Stand-Up Paddle Board,Half Day,1,66.96,None,0.00,0.00,66.96,Isaac Patel,Harbor Dock,Mobile Pay,Cloudy
WSR-2026-0050,2026-01-25,January,Sunday,Winter,Online Booking,Tandem Kayak,2 Hours,1,56.16,Phone Pouch,5.00,0.00,61.16,Ava Martinez,Lagoon Launch,Credit Card,Sunny
WSR-2026-0051,2026-01-25,January,Sunday,Winter,Online Booking,Wetsuit Rental,1 Hour,1,10.80,Cooler Rental,10.00,0.00,20.80,Grace Lee,Beachfront Hut,Credit Card,Cloudy
WSR-2026-0052,2026-01-26,January,Monday,Winter,Walk-in,Single Kayak,Full Day,1,84.00,None,0.00,0.00,84.00,Hannah Brooks,Marina Kiosk,Credit Card,Sunny
WSR-2026-0053,2026-01-26,January,Monday,Winter,Resort Guest,Stand-Up Paddle Board,1 Hour,1,26.00,Cooler Rental,10.00,0.00,36.00,Ben Carter,Marina Kiosk,Credit Card,Sunny
WSR-2026-0054,2026-01-28,January,Wednesday,Winter,Walk-in,Single Kayak,1 Hour,1,24.00,Phone Pouch,5.00,0.00,29.00,Hannah Brooks,Resort Pier,Cash,Sunny
WSR-2026-0055,2026-01-29,January,Thursday,Winter,Online Booking,Wetsuit Rental,Half Day,1,24.00,Phone Pouch,5.00,0.00,29.00,Emma Wilson,Beachfront Hut,Debit Card,Cloudy
WSR-2026-0056,2026-01-30,January,Friday,Winter,Resort Guest,Bodyboard,1 Hour,1,14.00,Cooler Rental,10.00,0.00,24.00,Ava Martinez,Beachfront Hut,Debit Card,Cloudy
WSR-2026-0057,2026-01-30,January,Friday,Winter,Resort Guest,Surfboard,1 Hour,1,22.00,None,0.00,0.00,22.00,Chloe Nguyen,Resort Pier,Credit Card,Cloudy
WSR-2026-0058,2026-01-30,January,Friday,Winter,Online Booking,Stand-Up Paddle Board,1 Hour,1,26.00,GoPro Mount,8.00,0.00,34.00,Isaac Patel,Marina Kiosk,Credit Card,Rainy
WSR-2026-0059,2026-01-31,January,Saturday,Winter,Online Booking,Snorkel Set,1 Hour,1,12.96,None,0.00,0.00,12.96,Isaac Patel,Resort Pier,Mobile Pay,Cloudy
WSR-2026-0060,2026-02-01,February,Sunday,Winter,Resort Guest,Fishing Kayak,2 Hours,1,54.00,None,0.00,0.00,54.00,Isaac Patel,Beachfront Hut,Mobile Pay,Sunny
WSR-2026-0061,2026-02-01,February,Sunday,Winter,Resort Guest,Hydro Bike,2 Hours,1,51.84,None,0.00,0.00,51.84,Ava Martinez,Beachfront Hut,Credit Card,Sunny
WSR-2026-0062,2026-02-02,February,Monday,Winter,Online Booking,Bodyboard,Half Day,1,34.00,None,0.00,0.00,34.00,Mia Thompson,Marina Kiosk,Credit Card,Windy
WSR-2026-0063,2026-02-02,February,Monday,Winter,Online Booking,Snorkel Set,1 Hour,1,12.00,None,0.00,0.00,12.00,Diego Ramirez,Marina Kiosk,Cash,Sunny
WSR-2026-0064,2026-02-02,February,Monday,Winter,Walk-in,Stand-Up Paddle Board,Half Day,1,62.00,Phone Pouch,5.00,0.00,67.00,Ben Carter,Marina Kiosk,Credit Card,Cloudy
WSR-2026-0065,2026-02-03,February,Tuesday,Winter,Walk-in,Surfboard,Full Day,1,76.00,Phone Pouch,5.00,0.00,81.00,Emma Wilson,Resort Pier,Debit Card,Cloudy
WSR-2026-0066,2026-02-03,February,Tuesday,Winter,Online Booking,Wetsuit Rental,1 Hour,1,10.00,Phone Pouch,5.00,0.00,15.00,Diego Ramirez,Resort Pier,Debit Card,Sunny
WSR-2026-0067,2026-02-04,February,Wednesday,Winter,Online Booking,Fishing Kayak,2 Hours,1,50.00,Phone Pouch,5.00,0.00,55.00,Diego Ramirez,Lagoon Launch,Gift Card,Cloudy
WSR-2026-0068,2026-02-04,February,Wednesday,Winter,Resort Guest,Single Kayak,2 Hours,1,38.00,GoPro Mount,8.00,0.00,46.00,Grace Lee,Lagoon Launch,Cash,Rainy
WSR-2026-0069,2026-02-05,February,Thursday,Winter,Online Booking,Bodyboard,1 Hour,1,14.00,None,0.00,0.00,14.00,Grace Lee,Beachfront Hut,Debit Card,Cloudy
WSR-2026-0070,2026-02-05,February,Thursday,Winter,Walk-in,Stand-Up Paddle Board,1 Hour,1,26.00,Dry Bag,6.00,0.00,32.00,Grace Lee,Marina Kiosk,Debit Card,Rainy
WSR-2026-0071,2026-02-05,February,Thursday,Winter,Online Booking,Surfboard,Half Day,1,54.00,None,0.00,0.00,54.00,Diego Ramirez,Harbor Dock,Debit Card,Sunny
WSR-2026-0072,2026-02-05,February,Thursday,Winter,Walk-in,Snorkel Set,1 Hour,1,12.00,None,0.00,0.00,12.00,Grace Lee,Lagoon Launch,Credit Card,Cloudy
WSR-2026-0073,2026-02-05,February,Thursday,Winter,Online Booking,Stand-Up Paddle Board,2 Hours,1,42.00,Phone Pouch,5.00,0.00,47.00,Chloe Nguyen,Resort Pier,Credit Card,Cloudy
WSR-2026-0074,2026-02-05,February,Thursday,Winter,Resort Guest,Hydro Bike,Half Day,1,72.00,None,0.00,0.00,72.00,Diego Ramirez,Lagoon Launch,Mobile Pay,Sunny
WSR-2026-0075,2026-02-06,February,Friday,Winter,Group/Event,Snorkel Set,1 Hour,1,12.00,Cooler Rental,10.00,1.10,20.90,Isaac Patel,Lagoon Launch,Cash,Cloudy
WSR-2026-0076,2026-02-06,February,Friday,Winter,Member,Bodyboard,Half Day,1,34.00,None,0.00,3.40,30.60,Mia Thompson,Harbor Dock,Credit Card,Sunny
WSR-2026-0077,2026-02-07,February,Saturday,Winter,Online Booking,Surfboard,2 Hours,1,38.88,Dry Bag,6.00,0.00,44.88,Finn Johnson,Lagoon Launch,Credit Card,Cloudy
WSR-2026-0078,2026-02-07,February,Saturday,Winter,Group/Event,Wetsuit Rental,1 Hour,1,10.80,Dry Bag,6.00,1.68,15.12,Finn Johnson,Lagoon Launch,Debit Card,Cloudy
WSR-2026-0079,2026-02-07,February,Saturday,Winter,Walk-in,Stand-Up Paddle Board,Half Day,1,66.96,None,0.00,0.00,66.96,Ava Martinez,Resort Pier,Credit Card,Cloudy
WSR-2026-0080,2026-02-07,February,Saturday,Winter,Group/Event,Stand-Up Paddle Board,2 Hours,1,45.36,Phone Pouch,5.00,2.52,47.84,Diego Ramirez,Beachfront Hut,Mobile Pay,Cloudy
WSR-2026-0081,2026-02-07,February,Saturday,Winter,Resort Guest,Stand-Up Paddle Board,2 Hours,1,45.36,Phone Pouch,5.00,0.00,50.36,Diego Ramirez,Beachfront Hut,Mobile Pay,Cloudy
WSR-2026-0082,2026-02-08,February,Sunday,Winter,Resort Guest,Bodyboard,Full Day,1,51.84,None,0.00,0.00,51.84,Mia Thompson,Marina Kiosk,Credit Card,Windy
WSR-2026-0083,2026-02-08,February,Sunday,Winter,Resort Guest,Single Kayak,2 Hours,1,41.04,Dry Bag,6.00,0.00,47.04,Emma Wilson,Lagoon Launch,Mobile Pay,Sunny
WSR-2026-0084,2026-02-08,February,Sunday,Winter,Walk-in,Surfboard,Full Day,1,82.08,Premium Life Jacket,7.00,0.00,89.08,Ava Martinez,Harbor Dock,Credit Card,Cloudy
WSR-2026-0085,2026-02-08,February,Sunday,Winter,Group/Event,Tandem Kayak,Half Day,1,84.24,None,0.00,8.42,75.82,Isaac Patel,Marina Kiosk,Debit Card,Rainy
WSR-2026-0086,2026-02-08,February,Sunday,Winter,Online Booking,Snorkel Set,1 Hour,1,12.96,None,0.00,0.00,12.96,Ava Martinez,Lagoon Launch,Debit Card,Cloudy
WSR-2026-0087,2026-02-09,February,Monday,Winter,Online Booking,Tandem Kayak,1 Hour,1,34.00,Phone Pouch,5.00,0.00,39.00,Ava Martinez,Harbor Dock,Debit Card,Cloudy
WSR-2026-0088,2026-02-09,February,Monday,Winter,Online Booking,Bodyboard,Half Day,1,34.00,Phone Pouch,5.00,0.00,39.00,Mia Thompson,Harbor Dock,Credit Card,Cloudy
WSR-2026-0089,2026-02-10,February,Tuesday,Winter,Group/Event,Bodyboard,1 Hour,1,14.00,None,0.00,1.40,12.60,Ava Martinez,Beachfront Hut,Debit Card,Sunny
WSR-2026-0090,2026-02-11,February,Wednesday,Winter,Online Booking,Stand-Up Paddle Board,Half Day,1,62.00,Premium Life Jacket,7.00,0.00,69.00,Grace Lee,Lagoon Launch,Mobile Pay,Sunny
WSR-2026-0091,2026-02-11,February,Wednesday,Winter,Walk-in,Fishing Kayak,1 Hour,1,32.00,Dry Bag,6.00,0.00,38.00,Finn Johnson,Harbor Dock,Credit Card,Windy
WSR-2026-0092,2026-02-11,February,Wednesday,Winter,Online Booking,Fishing Kayak,2 Hours,1,50.00,Phone Pouch,5.00,0.00,55.00,Ben Carter,Beachfront Hut,Debit Card,Sunny
WSR-2026-0093,2026-02-12,February,Thursday,Winter,Online Booking,Single Kayak,Half Day,1,58.00,None,0.00,0.00,58.00,Mia Thompson,Resort Pier,Debit Card,Cloudy
WSR-2026-0094,2026-02-12,February,Thursday,Winter,Walk-in,Stand-Up Paddle Board,1 Hour,1,26.00,Phone Pouch,5.00,0.00,31.00,Chloe Nguyen,Beachfront Hut,Debit Card,Sunny
WSR-2026-0095,2026-02-13,February,Friday,Winter,Walk-in,Tandem Kayak,1 Hour,1,34.00,Dry Bag,6.00,0.00,40.00,Grace Lee,Resort Pier,Credit Card,Cloudy
WSR-2026-0096,2026-02-13,February,Friday,Winter,Walk-in,Hydro Bike,Full Day,1,104.00,None,0.00,0.00,104.00,Grace Lee,Marina Kiosk,Credit Card,Sunny
WSR-2026-0097,2026-02-14,February,Saturday,Winter,Online Booking,Snorkel Set,2 Hours,1,19.44,None,0.00,0.00,19.44,Emma Wilson,Harbor Dock,Credit Card,Cloudy
WSR-2026-0098,2026-02-14,February,Saturday,Winter,Walk-in,Pedal Boat,Half Day,1,92.88,Dry Bag,6.00,0.00,98.88,Isaac Patel,Harbor Dock,Cash,Rainy
WSR-2026-0099,2026-02-14,February,Saturday,Winter,Group/Event,Pedal Boat,2 Hours,1,62.64,Dry Bag,6.00,6.86,61.78,Ben Carter,Harbor Dock,Debit Card,Cloudy
WSR-2026-0100,2026-02-15,February,Sunday,Winter,Resort Guest,Wetsuit Rental,2 Hours,1,17.28,None,0.00,0.00,17.28,Hannah Brooks,Lagoon Launch,Credit Card,Cloudy
WSR-2026-0101,2026-02-17,February,Tuesday,Winter,Walk-in,Single Kayak,2 Hours,1,38.00,None,0.00,0.00,38.00,Mia Thompson,Beachfront Hut,Cash,Sunny
WSR-2026-0102,2026-02-18,February,Wednesday,Winter,Online Booking,Single Kayak,2 Hours,1,38.00,Cooler Rental,10.00,0.00,48.00,Grace Lee,Lagoon Launch,Credit Card,Windy
WSR-2026-0103,2026-02-21,February,Saturday,Winter,Walk-in,Tandem Kayak,1 Hour,1,36.72,Phone Pouch,5.00,0.00,41.72,Hannah Brooks,Marina Kiosk,Debit Card,Cloudy
WSR-2026-0104,2026-02-21,February,Saturday,Winter,Walk-in,Single Kayak,Full Day,1,90.72,Phone Pouch,5.00,0.00,95.72,Isaac Patel,Lagoon Launch,Debit Card,Cloudy
WSR-2026-0105,2026-02-21,February,Saturday,Winter,Online Booking,Stand-Up Paddle Board,2 Hours,1,45.36,Cooler Rental,10.00,0.00,55.36,Chloe Nguyen,Beachfront Hut,Debit Card,Sunny
WSR-2026-0106,2026-02-21,February,Saturday,Winter,Online Booking,Fishing Kayak,2 Hours,1,54.00,Dry Bag,6.00,0.00,60.00,Ben Carter,Beachfront Hut,Credit Card,Cloudy
WSR-2026-0107,2026-02-22,February,Sunday,Winter,Walk-in,Tandem Kayak,1 Hour,1,36.72,Dry Bag,6.00,0.00,42.72,Grace Lee,Marina Kiosk,Cash,Windy
WSR-2026-0108,2026-02-22,February,Sunday,Winter,Walk-in,Surfboard,2 Hours,1,38.88,None,0.00,0.00,38.88,Ava Martinez,Harbor Dock,Credit Card,Cloudy
WSR-2026-0109,2026-02-23,February,Monday,Winter,Group/Event,Single Kayak,2 Hours,1,38.00,None,0.00,0.00,38.00,Chloe Nguyen,Beachfront Hut,Debit Card,Sunny
WSR-2026-0110,2026-02-23,February,Monday,Winter,Group/Event,Wetsuit Rental,2 Hours,1,16.00,Phone Pouch,5.00,1.05,19.95,Mia Thompson,Beachfront Hut,Credit Card,Rainy
WSR-2026-0111,2026-02-23,February,Monday,Winter,Resort Guest,Fishing Kayak,1 Hour,1,32.00,Dry Bag,6.00,0.00,38.00,Isaac Patel,Beachfront Hut,Debit Card,Cloudy
WSR-2026-0112,2026-02-24,February,Tuesday,Winter,Group/Event,Single Kayak,Half Day,1,58.00,Dry Bag,6.00,0.00,64.00,Chloe Nguyen,Marina Kiosk,Credit Card,Sunny
WSR-2026-0113,2026-02-25,February,Wednesday,Winter,Resort Guest,Surfboard,Full Day,1,76.00,Cooler Rental,10.00,0.00,86.00,Ben Carter,Resort Pier,Debit Card,Rainy
WSR-2026-0114,2026-02-25,February,Wednesday,Winter,Walk-in,Surfboard,Half Day,1,54.00,Phone Pouch,5.00,0.00,59.00,Finn Johnson,Harbor Dock,Mobile Pay,Windy
WSR-2026-0115,2026-02-25,February,Wednesday,Winter,Walk-in,Bodyboard,2 Hours,1,22.00,None,0.00,0.00,22.00,Chloe Nguyen,Marina Kiosk,Cash,Sunny
WSR-2026-0116,2026-02-26,February,Thursday,Winter,Resort Guest,Surfboard,Half Day,1,54.00,Phone Pouch,5.00,0.00,59.00,Ben Carter,Marina Kiosk,Cash,Rainy
WSR-2026-0117,2026-02-26,February,Thursday,Winter,Online Booking,Single Kayak,2 Hours,1,38.00,None,0.00,1.90,36.10,Hannah Brooks,Harbor Dock,Debit Card,Sunny
WSR-2026-0118,2026-02-26,February,Thursday,Winter,Resort Guest,Single Kayak,2 Hours,1,38.00,None,0.00,0.00,38.00,Ben Carter,Resort Pier,Credit Card,Windy
WSR-2026-0119,2026-02-27,February,Friday,Winter,Walk-in,Stand-Up Paddle Board,2 Hours,1,42.00,Phone Pouch,5.00,0.00,47.00,Diego Ramirez,Resort Pier,Debit Card,Sunny
WSR-2026-0120,2026-02-27,February,Friday,Winter,Walk-in,Surfboard,1 Hour,1,22.00,None,0.00,0.00,22.00,Hannah Brooks,Harbor Dock,Cash,Cloudy
WSR-2026-0121,2026-02-27,February,Friday,Winter,Walk-in,Snorkel Set,1 Hour,1,12.00,None,0.00,0.00,12.00,Finn Johnson,Harbor Dock,Credit Card,Rainy
WSR-2026-0122,2026-02-27,February,Friday,Winter,Walk-in,Single Kayak,1 Hour,1,24.00,Waterproof Speaker,12.00,0.00,36.00,Ava Martinez,Beachfront Hut,Credit Card,Cloudy
WSR-2026-0123,2026-02-28,February,Saturday,Winter,Online Booking,Snorkel Set,Full Day,1,43.20,Phone Pouch,5.00,0.00,48.20,Mia Thompson,Harbor Dock,Mobile Pay,Windy
WSR-2026-0124,2026-02-28,February,Saturday,Winter,Walk-in,Bodyboard,2 Hours,1,23.76,Phone Pouch,5.00,0.00,28.76,Chloe Nguyen,Harbor Dock,Cash,Cloudy
WSR-2026-0125,2026-02-28,February,Saturday,Winter,Resort Guest,Snorkel Set,2 Hours,1,19.44,None,0.00,0.00,19.44,Mia Thompson,Harbor Dock,Gift Card,Windy
WSR-2026-0126,2026-03-01,March,Sunday,Spring,Online Booking,Stand-Up Paddle Board,2 Hours,1,45.36,Dry Bag,6.00,0.00,51.36,Ava Martinez,Harbor Dock,Debit Card,Cloudy
WSR-2026-0127,2026-03-01,March,Sunday,Spring,Walk-in,Surfboard,2 Hours,1,38.88,GoPro Mount,8.00,0.00,46.88,Mia Thompson,Marina Kiosk,Mobile Pay,Cloudy
WSR-2026-0128,2026-03-01,March,Sunday,Spring,Walk-in,Tandem Kayak,2 Hours,1,56.16,None,0.00,0.00,56.16,Mia Thompson,Resort Pier,Mobile Pay,Windy
WSR-2026-0129,2026-03-01,March,Sunday,Spring,Resort Guest,Hydro Bike,2 Hours,1,51.84,Premium Life Jacket,7.00,0.00,58.84,Hannah Brooks,Lagoon Launch,Mobile Pay,Sunny
WSR-2026-0130,2026-03-02,March,Monday,Spring,Walk-in,Stand-Up Paddle Board,2 Hours,1,42.00,None,0.00,0.00,42.00,Grace Lee,Beachfront Hut,Debit Card,Sunny
WSR-2026-0131,2026-03-03,March,Tuesday,Spring,Online Booking,Stand-Up Paddle Board,Full Day,1,88.00,None,0.00,0.00,88.00,Chloe Nguyen,Harbor Dock,Credit Card,Cloudy
WSR-2026-0132,2026-03-03,March,Tuesday,Spring,Walk-in,Stand-Up Paddle Board,2 Hours,1,42.00,None,0.00,0.00,42.00,Finn Johnson,Beachfront Hut,Mobile Pay,Cloudy
WSR-2026-0133,2026-03-03,March,Tuesday,Spring,Walk-in,Fishing Kayak,2 Hours,1,50.00,Phone Pouch,5.00,0.00,55.00,Ben Carter,Beachfront Hut,Mobile Pay,Windy
WSR-2026-0134,2026-03-03,March,Tuesday,Spring,Walk-in,Stand-Up Paddle Board,Half Day,1,62.00,None,0.00,0.00,62.00,Emma Wilson,Harbor Dock,Cash,Sunny
WSR-2026-0135,2026-03-04,March,Wednesday,Spring,Online Booking,Single Kayak,2 Hours,1,38.00,Dry Bag,6.00,0.00,44.00,Mia Thompson,Lagoon Launch,Debit Card,Rainy
WSR-2026-0136,2026-03-05,March,Thursday,Spring,Walk-in,Fishing Kayak,1 Hour,1,32.00,Dry Bag,6.00,1.90,36.10,Hannah Brooks,Marina Kiosk,Mobile Pay,Sunny
WSR-2026-0137,2026-03-05,March,Thursday,Spring,Resort Guest,Stand-Up Paddle Board,Half Day,1,62.00,None,0.00,0.00,62.00,Emma Wilson,Lagoon Launch,Debit Card,Sunny
WSR-2026-0138,2026-03-05,March,Thursday,Spring,Walk-in,Tandem Kayak,2 Hours,1,52.00,Dry Bag,6.00,0.00,58.00,Finn Johnson,Beachfront Hut,Credit Card,Rainy
